VICTIMA_PERUANA,EDAD_VICTIMA,VICTIMA_GESTANDO,N_HIJOS,ESTADO_CIVIL_VICTIMA,ESTUDIA,TRABAJA_VICTIMA,TIENE_SEGURO,DIST_DOMICILIO
1,13,0,0,1,1,0,0,Lurigancho
1,13,0,0,1,1,0,0,Lurigancho
1,7,0,0,1,1,0,0,Lurigancho
1,7,0,0,1,1,0,0,Lurigancho
1,10,0,0,1,1,0,1,Lurigancho
1,10,0,0,1,1,0,1,Lurigancho
1,10,0,0,1,1,0,1,Lurigancho
1,10,0,0,1,1,0,1,Lurigancho
1,35,0,1,1,0,1,1,Lurigancho
1,11,0,0,1,1,0,1,Lurigancho
1,11,0,0,1,1,0,1,Lurigancho
1,23,0,1,1,0,1,1,Lurigancho
1,15,0,0,1,1,0,1,Lurigancho
1,36,0,1,1,0,1,0,Lurigancho
1,32,0,0,1,0,0,1,Lurigancho
1,4,0,0,1,1,0,1,Lurigancho
1,33,0,1,1,0,0,1,Lurigancho
1,11,0,0,1,1,0,1,Lurigancho
1,19,1,0,1,0,0,1,Santa Anita
1,12,0,0,1,1,0,1,Chaclacayo
1,16,0,0,1,1,0,1,Lurigancho
1,26,0,1,1,0,0,1,Lurigancho
1,33,0,1,1,1,1,1,Lurigancho
1,27,0,1,1,0,0,1,San Martin de Porres
1,5,0,0,1,1,0,1,San Martin de Porres
1,10,0,0,1,1,0,1,Lurigancho
1,11,0,0,1,1,0,1,Lurigancho
1,14,0,0,1,1,0,1,Lurigancho
1,14,0,0,1,1,0,1,Lurigancho
1,23,0,0,1,1,0,0,Lurigancho
1,47,0,1,1,0,1,1,Lurigancho
1,46,0,0,1,0,0,1,Lurigancho
1,38,0,1,1,0,0,1,Lurigancho
1,45,0,1,1,0,0,1,Lurigancho
1,6,0,0,1,1,0,1,Lurigancho
1,5,0,0,1,1,0,1,Lurigancho
1,79,0,1,1,0,0,1,Lurigancho
1,38,0,1,1,0,0,0,Lurigancho
1,5,0,0,1,1,0,0,Lurigancho
1,51,0,0,1,0,1,0,Lurigancho
1,34,0,1,1,0,0,1,Magdalena del Mar
1,9,0,0,1,1,0,1,Magdalena del Mar
1,47,0,1,1,1,0,1,Lurigancho
1,61,0,1,1,0,1,1,Lurigancho
1,12,0,0,1,1,0,1,Lurigancho
1,23,0,1,1,0,0,1,Lurigancho
1,8,0,0,1,1,0,1,Lurigancho
1,8,0,0,1,1,0,1,Lurigancho
1,16,0,0,1,0,0,1,Lurigancho
1,13,0,0,1,1,0,1,Lurigancho
1,42,0,1,1,0,0,1,Santa Anita
1,42,0,1,1,0,1,1,Lurigancho
1,44,0,1,1,0,0,1,Lurigancho
1,27,0,1,1,0,1,0,Lurigancho
1,41,0,0,1,0,1,1,Lurigancho
1,42,0,1,1,0,0,1,Lurigancho
1,17,0,0,1,0,0,1,Lurigancho
1,17,0,0,1,0,0,1,Lurigancho
1,30,0,1,1,0,1,0,Ate
1,18,0,0,1,0,0,1,Lurigancho
1,36,0,1,1,0,1,1,Lurigancho
1,17,0,0,1,1,0,1,Lurigancho
1,17,0,0,1,1,0,1,Lurigancho
1,19,0,0,1,0,0,1,Lurigancho
1,23,0,0,1,1,0,1,Lurigancho
1,4,0,0,1,1,0,1,Lurigancho
1,39,0,1,1,0,1,1,Lurigancho
1,36,0,1,1,0,0,1,Lurigancho
1,15,0,0,1,1,0,1,Lurigancho
1,13,0,0,1,1,0,1,Lurigancho
1,44,0,1,1,0,0,1,Lurigancho
1,39,0,1,1,1,0,1,Lurigancho
1,61,0,0,1,0,0,1,Lurigancho
1,12,0,0,1,1,0,1,Lurigancho
1,37,0,1,1,0,1,1,Lurigancho
1,5,0,0,1,1,0,1,Lurigancho
1,40,0,1,1,0,0,1,Lurigancho
1,61,0,1,1,0,0,1,Lurigancho
1,74,0,1,1,0,0,1,Lurigancho
1,43,0,1,1,0,1,1,Lurigancho
1,16,0,0,1,0,1,1,Lurigancho
